"id_all","Headline","codeN","missword","sampleloc"
66897,"外交は自民、内政は民主　首相の好感度、低下　朝日・東大共同調査",NA,NA,3533
26381,"景気策の先送り続けば倒閣運動辞さず／河野・自民総裁 ",NA,NA,1799
53490,"額賀福志郎・村上正邦氏の証人喚問容認　ＫＳＤで自民、公明幹事長",NA,NA,3029
37830,"公取委・国税庁の折衷型　金融検査監督機関で加藤自民幹事長が意向 ",NA,NA,2182
39805,"最終報告は来月初めに　財政構造改革で加藤紘一自民党幹事長",NA,NA,2230
90959,"悪質いじめ、首長へ報告　教師の体罰も対象　防止法自民案",NA,NA,4593
45712,"刑事罰、１４歳以上に　自民小委正式提言　少年法改正",NA,NA,2620
81334,"地方自民、渋々「麻生支持」　後任なし・今さら　「総選挙、現政権で」３０都道府県",NA,NA,4162
54330,"秋田知事に寺田典城氏再選　自民党、千葉に続き黒星",NA,NA,3107
94890,"消費増税２４日審議入り　政府・民主方針　自民は拒否継続",NA,NA,4434
50028,"二階堂進氏（元自民党副総裁）死去　田中元首相の側近 ",NA,NA,2887
13125,"海部首相、「年末改造」固める　「補正」成立後に小沢幹事長と会談へ",NA,NA,828
6188,"多賀谷・衆院副議長が辞職願　「予算の自民党単独採決で責任を痛感」 ",NA,NA,363
90283,"消費増税、成否の岐路　自民、きょうにも不信任案",NA,NA,4470
37804,"旧国鉄債務２８兆円返済　利払い累増防止最優先／政府・自民方針 ",NA,NA,2179
20870,"佐川急便事件　金丸元副総裁に出頭要請　５億円献金受領は本人と認定／東京地検 ",NA,NA,1309
21820,"住宅買い替え特例復活の意向　自民税調首脳、景気に効果と判断",NA,NA,1422
16841,"自民党政治改革本部の伊東、後藤田両氏が海部首相に辞意を表明 ",NA,NA,1026
43489,"国会議員倫理法案　自民が今国会の提出見送りへ　「あっせん利得罪」反発高まる ",NA,NA,2410
30922,"新進党系で初の知事　青森県知事選、接戦で木村氏　自民系現職を破る",NA,NA,1961
18022,"阿部元長官、自民を離党　議員は辞職せず　受託収賄容疑で逮捕",NA,NA,1141
28469,"「政権協議早急に」　社会党に自民が要請／河野・村山会談 ",NA,NA,1899
20712,"金丸副総裁の辞表を宮沢首相が受理",NA,NA,1298
41067,"政治倫理法問題　今国会中に結論　自社さ一致 ",NA,NA,2289
58460,"鈴木宗男代議士、辞職拒否　自民、勧告決議案を可決容認へ",NA,NA,3268
85307,"菅内閣支持６０％　投票先、民主３９％・自民１３％　朝日新聞社世論調査",NA,NA,4307
88673,"子ども手当廃止　所得制限　年収９６０万円　来春から新制度　民自公が合意 ",NA,NA,4386
62958,"小泉総裁再選「望ましい」　自民議員の４１％／読売新聞社衆院議員アンケート ",NA,NA,3349
68943,"「折衝一任」へ調整　郵政民営化法案めぐり自民執行部",NA,NA,3580
84297,"小沢氏は不起訴処分　「幹事長職返上せぬ」　東京地検、石川議員ら起訴　４億円不記載",NA,NA,4280
36103,"衆院採決前の自民・加藤氏招致、与党応じる方針　「ヤミ献金」問題",NA,NA,2103
45490,"内閣改造、自民に先送りの動き　来春以降に　自由党と亀裂も",NA,NA,2597
38815,"民・社・さ、統一会派結成へ協議　政府・自民へ影響狙う",NA,NA,2204
17793,"「自民政治家らに十数億円」　「共和」の資金提供、元幹部ら語る",NA,NA,1135
36684,"「臨時国会で解散」強まる　早ければ１０月初旬　自民大勢、社さも傾く ",NA,NA,2112
13113,"現行消費税で９１年度予算案　是正論議、統一選後に　政府・自民党",NA,NA,827
47190,"少年法改正先送り　検察関与、野党と溝　法務省と自民方針",NA,NA,2695
22812,"商法改正　今国会成立は確実　社外監査役の要件、自民受け入れの方針 ",NA,NA,1478
3401,"幹事長に折衝を一任　税制改革で政府・自民党、首脳協議",NA,NA,190
48971,"自自公、介護保険料徴収の一時凍結を検討　介護手当も考慮",NA,NA,2835
2870,"臨時国会、会期の幅は多少短縮も　安倍幹事長語る",NA,NA,173
56736,"医療改革　診療報酬引き下げ、高齢者負担１割に　政府・自民が合意 ",NA,NA,3217
68948,"自民政調会長、郵政民営化で政府案への要求案提示　「執行部一任」巡り部会紛糾 ",NA,NA,3581
70454,"民主党、月内に憲法提言　自民主導の改正論議、対抗狙う ",NA,NA,3698
26114,"自民党公認の溝手顕正氏が当選　参院広島補選",NA,NA,1787
23193,"金丸前副総裁３億円で保釈　逮捕から２３日ぶり　生原元秘書は保釈見送り ",NA,NA,1547
70061,"（追跡　政界流動）堀江氏党公認「やりすぎや」　自民・山崎氏難色　総選挙",NA,NA,3653
44617,"交付金使途、新報告書も虚偽記載　中島洋次郎代議士代表の自民支部",NA,NA,2519
76906,"３５都道府県で党員投票　福田康夫氏と麻生太郎氏が立候補、自民党総裁選スタート",NA,NA,3955
79951,"５氏が立候補へ　自民総裁選きょう告示",NA,NA,4101
64098,"自民税調、非公式幹部会を廃止　新会長に津島雄二元厚相",NA,NA,3462
43763,"長銀再建へ第一勧銀、大和銀と合併構想　政府、自民が支持　週明けにも本格協議 ",NA,NA,2421
10591,"海部内閣支持５２％に　自民も高率５４％　本社世論調査",NA,NA,706
19084,"自公民の幹事長と書記長　来週にも「ＰＫＯ」協議 ",NA,NA,1211
69833,"「郵政解散」賛成５３％　小泉首相・自民反対派、共感二分　朝日新聞社世論調査",NA,NA,3622
69727,"郵政法案　参院自民１７人「反対」　執行部、説得に全力／読売新聞社調査 ",NA,NA,3619
27913,"内閣不信任案、予算成立後の提出用意　河野自民総裁、羽田首相に表明",NA,NA,1872
73581,"（自民総裁選への視点：下）「官から民」風止めるな",NA,NA,3845
46590,"小渕内閣支持率、３３％に下落　自民党は上昇　朝日新聞社世論調査",NA,NA,2662
16924,"挙党体制作り強調　人事、竹下派を軸に　自民党新総裁就任確実の宮沢・元副総理 ",NA,NA,1054
34651,"橋本内閣が発足　自民主導色強まる　法相は長尾立子氏",NA,NA,2076
44882,"追加景気対策で「商品券減税」が浮上／政府・自民 ",NA,NA,2553
63877,"衆院選、きょう公示　自民・民主・公明、比例選名簿を発表 ",NA,NA,3440
50804,"自民党の梶山元官房長官が引退へ　次期衆院選に出馬せず ",NA,NA,2923
84608,"内閣支持率、下落３２％　「政治とカネ」５６％重視　自民も低迷　朝日新聞社世論調査",NA,NA,4290
44538,"情報開示、３段階で　金融機関の破たん前処理　政府・自民が方針",NA,NA,2506
48108,"［地球を読む］自自公連立　政治の基軸示せ　中曽根康弘（寄稿） ",NA,NA,2763
86095,"民主幹事長　岡田氏「天命だと思う」 ",NA,NA,4333
94622,"「脱デフレ姿勢　明確に」　日銀総裁　物価上昇１％目途で",NA,NA,4420
70661,"（宴のあとさき　小泉劇場）絞った自民、迷った民主　情報・メディア戦明暗　総選挙",NA,NA,3706
29649,"創価学会、自民候補支援も　野崎副会長、国政選挙への対応語る",NA,NA,1929
70024,"自民・亀井静香氏が派閥会長辞任　新党参加、若手に打診",NA,NA,3646
10661,"秋田市長に石川錬治郎氏初当選　自民推薦候補破る ",NA,NA,707
63410,"動かぬ医師会に、青木参院幹事長「満足」　自民党総裁選",NA,NA,3394
24529,"自民党後継総裁に河野洋平官房長官が前向き姿勢表明 ",NA,NA,1681
38196,"自民党が運動方針案で改憲検討盛る　単独政権で復活 ",NA,NA,2197
95457,"安倍氏が出馬表明　自民総裁選　林氏もきょう表明",NA,NA,4493
86792,"小沢氏招致　幹事長に一任　「政倫審出席促す」　民主役員会 ",NA,NA,4345
83647,"６法案が衆院委審議入り　自公欠席　「郵政」法案は２４日にも ",NA,NA,4261
28298,"「景気、回復へ動く」　三重野日銀総裁が一歩踏み込んだ認識 ",NA,NA,1884
63415,"自民・野中氏が引退表明　「最後の戦い」宣言　首相に、盟友に ",NA,NA,3398
91161,"ＴＰＰによる農家の減収補填　農水・自民、共済拡充を検討",NA,NA,4615
15028,"「定数２００」すべて比例選に　参院改革で斎藤・参院自民幹事長が私案 ",NA,NA,927
89779,"野田首相、自民の協力期待　小沢氏系が一斉辞表　消費増税法案",NA,NA,4427
9005,"補正予算、野党に協力要請　自民幹事長と首相が一致",NA,NA,642
