攻撃,,,-999,名詞,一般,*,*,*,*,攻撃,コウゲキ,コウゲキ
交戦,,,-999,名詞,一般,*,*,*,*,交戦,コウセン,コウセン
爆撃,,,-999,名詞,一般,*,*,*,*,爆撃,バクゲキ,バクゲキ
空爆,,,-999,名詞,一般,*,*,*,*,空爆,クウバク,クウバク
停戦,,,-999,名詞,一般,*,*,*,*,停戦,テイセン,テイセン
和平,,,-999,名詞,一般,*,*,*,*,和平,ワヘイ,ワヘイ
平和,,,-999,名詞,一般,*,*,*,*,平和,ヘイワ,ヘイワ
同盟,,,-999,名詞,一般,*,*,*,*,同盟,ドウメイ,ドウメイ
自衛権,,,-999,名詞,一般,*,*,*,*,自衛権,ジエイケン,ジエイケン
イラク,,,-999,名詞,一般,*,*,*,*,イラク,イラク,イラク
アフガン,,,-999,名詞,一般,*,*,*,*,アフガン,アフガン,アフガン
アフガニスタン,,,-999,名詞,一般,*,*,*,*,アフガニスタン,アフガニスタン,アフガニスタン
タリバン,,,-999,名詞,一般,*,*,*,*,タリバン,タリバン,タリバン
尖閣,,,-999,名詞,一般,*,*,*,*,尖閣,センカク,センカク
拉致,,,-999,名詞,一般,*,*,*,*,拉致,ラチ,ラチ
ら致,,,-999,名詞,一般,*,*,*,*,ら致,ラチ,ラチ
竹島,,,-999,名詞,一般,*,*,*,*,竹島,タケシマ,タケシマ
会談,,,-999,名詞,一般,*,*,*,*,会談,カイダン,カイダン
訪問,,,-999,名詞,一般,*,*,*,*,訪問,ホウモン,ホウモン
訪米,,,-999,名詞,一般,*,*,*,*,訪米,ホウベイ,ホウベイ
訪中,,,-999,名詞,一般,*,*,*,*,訪中,ホウチュウ,ホウチュウ
訪韓,,,-999,名詞,一般,*,*,*,*,訪韓,ホウカン,ホウカン
訪朝,,,-999,名詞,一般,*,*,*,*,訪朝,ホウチョウ,ホウチョウ
訪日,,,-999,名詞,一般,*,*,*,*,訪日,ホウニチ,ホウニチ
来日,,,-999,名詞,一般,*,*,*,*,来日,ライニチ,ライニチ
交渉,,,-999,名詞,一般,*,*,*,*,交渉,コウショウ,コウショウ
合意,,,-999,名詞,一般,*,*,*,*,合意,ゴウイ,ゴウイ
協議,,,-999,名詞,一般,*,*,*,*,協議,キョウギ,キョウギ
ミサイル,,,-999,名詞,一般,*,*,*,*,ミサイル,ミサイル,ミサイル
迎撃,,,-999,名詞,一般,*,*,*,*,迎撃,ゲイゲキ,ゲイゲキ
テロ,,,-999,名詞,一般,*,*,*,*,テロ,テロ,テロ
通商,,,-999,名詞,一般,*,*,*,*,通商,ツウショウ,ツウショウ
社,,,-999,名詞,一般,*,*,*,*,社,シャ,シャ
関税,,,-999,名詞,一般,*,*,*,*,関税,カンゼイ,カンゼイ
構造協議,,,-999,名詞,一般,*,*,*,*,構造協議,コウゾウキョウギ,コウゾウキョウギ
