"id_all","Headline","codeN","cabinetmatch","ldpmatch","politicsmatch"
38174,"２００５年度までに財政赤字を国内総生産比で３％以下に　政府が目標設定 ",NA,7776,NA,NA
52400,"「児童年金」が浮上　政府・与党で財源の確保課題",NA,9877,NA,9967
11069,"社会保障同盟重視を強調　デメジエール東独首相",NA,2222,NA,NA
41845,"預金保険、金融債・ヒットも保護　次期国会に法改正案提出　政府・自民固める ",NA,8334,2324,8130
53749,"「森首相退陣望ましい」　公明・神崎代表と保守・野田幹事長、極秘会談で一致 ",NA,10090,3039,NA
83126,"社保病院、公営を維持　売却方針転換　長妻厚労相指示",NA,14388,NA,NA
91523,"選挙改革、国会に諮問機関　安倍首相単独会見　石破氏に検討指示",NA,16456,NA,15533
90931,"日本人７人死亡確認　「日揮社員」首相に報告　アルジェリア人質事件",NA,16299,NA,NA
23658,"カンボジア総選挙完全実施で合意　ポト派抜き推進／ＳＮＣ北京会議 ",NA,NA,NA,4268
1366,"野党の減税要求に対する自民党の回答内容 ",NA,NA,51,175
6155,"自民党、単独で衆院予算委の審議再開　与野党協議が決裂 ",NA,NA,350,956
24405,"「日本新党」「さきがけ」統一会派結成で合意　自民とは連立せず",NA,NA,1648,4592
35693,"景気回復、より確実に　日米蔵相会談で努力一致 ",NA,7407,NA,NA
21548,"皇民党事件の検事調書問題　自民が告訴断念へ　顧問弁護団などに慎重論 ",NA,NA,1379,NA
96967,"法人税下げ　早期検討明記　賃上げ「２％で減税」に　自民税調大綱原案",NA,NA,4661,15623
647,"６３年度予算政府案の歳入と歳出",NA,127,NA,NA
6314,"リ事件で東京地検が藤波元官房長官から聴取　政界ルート捜査が最終段階 ",NA,1192,NA,NA
4000,"宮沢蔵相の見識と責任　石川真澄・編集委員（座標）",NA,726,NA,NA
83642,"総選挙直後に機密費２．５億円を請求　自公政権、使い切る　支出記録公表",NA,14550,4260,14212
66412,"参院選の投票率５６．５７％　前回なみ",NA,NA,NA,11901
48060,"定期借家制度へ新法　自自公３党、あすにも国会提案 ",NA,NA,2759,9217
87671,"放射能、漏出抑止に数カ月　福島原発めぐり菅政権見通し　海へ汚染水、続く",NA,15355,NA,NA
24753,"政治改革「年内不成立なら責任取る」　細川首相が初会見明言　減税には慎重 ",NA,5233,NA,4763
52920,"共産党大会　不破議長・志位委員長・市田書記局長の新体制が発足 ",NA,NA,NA,10044
62733,"イラク特措法案、４日にも衆院通過　与党、民主との協議決裂 ",NA,NA,NA,11363
26314,"仏首相、新ラウンド発効後も日本車輸出規制の継続望む　自国産業保護を明確に ",NA,5591,NA,NA
56520,"ウルグアイラウンド農業２事業費　「運用不適切」市町村９９％／会計検査院調査 ",NA,NA,NA,10583
60758,"日米ミサイル防衛構想　開発へ移行検討　石破防衛長官、米に表明 ",NA,11264,NA,NA
64173,"イラク支援、「自衛隊派遣したい」　小泉首相、時期は明言せず／衆院予算委 ",NA,11780,NA,11621
84931,"偽装献金　首相元秘書に有罪判決　東京地裁「国民の信頼損ねた」 ",NA,14828,NA,NA
19344,"ロシア大統領　「北方領」解決に前向き姿勢　５段階論縮める　渡辺外相に表明 ",NA,4175,NA,NA
33834,"村山首相、大田沖縄県知事と４日に会談　米軍基地問題など",NA,7094,NA,6721
78296,"残留農薬、輸入時に検査　政府、問題業者中心に　食品事故 ",NA,13636,NA,NA
18466,"２６、２７日に平成４年度予算案の公聴会／衆院予算委 ",NA,NA,NA,3242
14631,"６府県で保革相乗り知事当選　自公民も４県　北海道は横路孝弘氏",NA,NA,NA,2570
37849,"米軍基地懇　沖縄振興５事業を提言　嘉手納町など５市町村 ",NA,NA,NA,7568
73823,"［地球を読む］新政権の外交課題　穏健な協調、まず明示　北岡伸一（寄稿） ",NA,12998,NA,NA
22405,"日本商社の資材没収　取引中断で報復か／イラク政府 ",NA,4748,NA,NA
40381,"コーエン米国防長官が１１月にも訪中　加藤幹事長に表明",NA,8102,2255,NA
19591,"［地球を読む］自由貿易圏　米州共同体構築　キッシンジャー元国務長官（寄稿） ",NA,4214,NA,NA
47066,"今後の政局、自民総裁選が焦点　自自公選挙協力も",NA,NA,2688,9057
31422,"知事選候補予定者「災害対策」を重視　福祉・医療に並ぶ／読売新聞社アンケート ",NA,NA,NA,6285
92195,"（どうする　秘密法）「なし崩し」現実に起きた　永井愛さん",NA,NA,NA,15703
19173,"北方領土の段階返還、４月末の訪ロで打診　渡辺外相が答弁／参院外務委員会 ",NA,4130,NA,3384
68804,"郵政民営化法案骨子　週内の大筋了承目指す　首相、月内提出向け党内調整を指示 ",NA,12370,NA,12124
20361,"景気浮揚へ土地税制改革　自民が方針 ",NA,NA,1277,NA
77962,"［立法府］ねじれの今（５）「参院第１党」生かせず（連載） ",NA,NA,NA,13429
87028,"民主公約、見直し表明　財源の捻出限界　岡田幹事長",NA,NA,4350,NA
87279,"鳥獣戯画、仕立て直し　和紙の表裏、はがして絵巻物　制作技法解明",NA,NA,NA,14717
23752,"カンボジア　邦人選挙監視員は全員タケオが任地／ＵＮＴＡＣ発表 ",NA,NA,NA,4291
91060,"（東日本大震災２年）被災４０市町村で７．２万人減　３０代以下が６割超",NA,NA,NA,15416
62062,"日英首相会談　イラク復興、国連関与で一致　北の核は平和解決追求 ",NA,11452,NA,NA
6162,"自民党、連休明けに新総裁選出　内閣総辞職は予算成立後に／竹下・安倍会談 ",NA,1157,351,959
94836,"亀井氏、国民新党を離党",NA,NA,NA,15032
31213,"都議会委が可決　２信組融資の３００億円を予算案から削除",NA,NA,NA,6244
21869,"平成４年度補正予算があす１０日に成立／参院予算委 ",NA,NA,NA,3946
91876,"法人減税分使途「公表を」　賃上げ狙い　政府、企業に要請へ",NA,16553,NA,NA
9306,"「総選挙負ければ下野」　海部首相、金丸・安倍各氏と会談",NA,1826,NA,1724
41136,"大蔵省改革　「金融・財政」分離へ自民行革本部が調整　中間報告の修正図る ",NA,NA,2290,NA
48947,"藤波孝生議員が自民離党　リクルート事件で有罪確定 ",NA,NA,2834,9331
710,"「Ｇ７声明は生きている」　円相場で竹下首相語る",NA,136,NA,NA
23018,"参院予算委　喚問巡る対立解けず　今日の審議再開微妙 ",NA,NA,NA,4167
19638,"ＰＫＯ法案、来週採決の構え　宮沢首相、党首会談で決意示す",NA,4219,NA,3462
82823,"衆院選１８日公示 ",NA,NA,NA,14053
14032,"衆院予算委　一般質問開始へ　予算修正案の扱いで社党が軟化 ",NA,NA,NA,2499
89268,"もんじゅ見直し勧告へ　国会版仕分け、野田政権に",NA,15729,NA,14930
27008,"ベンツェン米財務長官が「懸念」表明　日本の黒字削減の実現で",NA,5755,NA,NA
76054,"社会保障番号「早急に検討」　安倍首相",NA,13278,NA,NA
20081,"［９２参院選　選択の意味］（中）再編胎動　新党軸に推進論（連載） ",NA,NA,NA,3571
49501,"日朝交渉を「歓迎」　銭中国副首相が朝日新聞社と会見",NA,9476,NA,NA
87636,"全原発に津波対策指示　１カ月以内に状況確認　海江田経産相",NA,15346,NA,NA
14526,"中東向け武器輸出規制で日ソ外相が一致　「旧敵国条項」削除に理解 ",NA,3074,NA,NA
18623,"安恒参院議員に５００万　国会質問直前に　佐川急便下請け社長が証言",NA,NA,NA,3279
40240,"Ｏ１５７の家庭内感染を警戒　全国自治体を朝日新聞社が調査",NA,NA,NA,7930
12765,"政府、通常国会１２月１０日召集の方針固める",NA,2608,NA,2323
38175,"高齢者外来１回５００円　医療保険改革案、３与党が合意 ",NA,NA,NA,7613
8714,"「消費税廃止」を参院で可決　衆院、きょう審議入り",NA,NA,NA,1585
82604,"衆院あす解散　８・３０投票へ　政権選択を焦点に ",NA,14283,NA,13998
53767,"自民大勢「もたない」　来月初め最終判断　森首相進退問題",NA,10094,3042,NA
28500,"税制改革、年内こだわらず　村山首相が就任会見　総選挙は新制度で ",NA,6192,NA,5650
97989,"混合診療の拡大表明　首相",NA,16836,NA,NA
28383,"衆院小選挙区の区割り法案で社会党と調整へ／与党方針 ",NA,NA,NA,5615
50463,"台湾総統に野党・陳水扁氏　半世紀の国民党単独政権に幕　改革訴え混戦制す ",NA,9584,NA,9607
99128,"沖縄県指示は「無効」　辺野古移設　菅長官「粛々と続行」",NA,17167,NA,NA
63808,"小泉内閣支持率　５．４ポイント減の５９．６％／読売新聞社全国世論調査 ",NA,11715,NA,NA
55483,"経済財政会議、骨格固める　来年度予算概算要求基準、与党が合意",NA,NA,NA,10480
11785,"イラク外交官を国外追放　米政府が報復措置",NA,2354,NA,NA
49515,"自民の２０００年度税制改正大綱決定　実質減税は２１５０億円 ",NA,NA,2867,NA
97391,"五輪委会長　森元首相が受諾",NA,16673,NA,NA
19959,"連合の真価（問われる日本政治　参院選に向けて：下）",NA,NA,NA,3545
82400,"衆院解散　麻生首相「そう遠くない」　都議選後を模索 ",NA,14243,NA,13937
23099,"毎年１０億円超すヤミ献金　建設業界などが金丸前副総裁に",NA,NA,1537,NA
29960,"神奈川・長洲知事　勇退を正式表明 ",NA,NA,NA,5952
64911,"虐待防止、家裁が勧告　児童福祉法改正案、きょう提出／厚生労働省 ",NA,NA,NA,11712
36913,"中南米歴訪へ、橋本首相きょう出発 ",NA,7579,NA,NA
53772,"［地球を読む］欧州の政治統合　多元主義の未来へ　Ａ・ギデンズ（寄稿） ",NA,NA,NA,10181
73232,"自民総裁選「靖国」対立鮮明に　安倍氏が４月参拝　谷垣氏自粛、麻生氏慎重 ",NA,NA,3803,NA
12015,"ソ連外相再来日か　ゴルバチョフ大統領訪日前に／在京ソ連外交筋 ",NA,2432,NA,NA
18069,"自民とは未調整　首相表明の政治資金制度改革切り離し処理＜解説＞",NA,3874,1148,3163
339,"大プロジェクト予定地の取引　初めから許可制に／奥野国土庁長官答弁 ",NA,67,NA,NA
78593,"捕鯨、外交解決に意欲　ラッド豪首相、朝日新聞社主筆と会見",NA,13671,NA,NA
52077,"公共事業中止勧告は２００前後に　見直し案与党合意",NA,NA,NA,9893
11132,"対中円借款再開へ、７月中にも使節団／政府 ",NA,2240,NA,NA
11886,"政府の中東支援策細目、きょう中に取りまとめ",NA,2381,NA,NA
62122,"主体思想　解釈変更（北朝鮮の素顔　第２部・政治体制：６）",NA,NA,NA,11281
22078,"「不況」「冷戦後」に重心　政府、９３年度予算案を決定",NA,4693,NA,NA
80333,"麻生首相、消費税増税検討を指示　「景気回復後に」　追加経済対策＝訂正あり",NA,13919,NA,NA
62737,"違法金利の契約は無効　ヤミ金融対策法案で与野党合意　今国会で成立方針 ",NA,NA,NA,11365
73456,"（安倍晋三研究　新政権の行方）米に配慮、「靖国」見直し　首相の座へ、脱タカ派像",NA,12926,NA,NA
51689,"鹿児島県知事選　須賀竜郎氏が再選 ",NA,NA,NA,9868
11129,"海部首相きょう６日の日程＝現地時間 ",NA,2239,NA,NA
6161,"冠婚葬祭、寄付を禁止　政治改革・有識者会議の林座長私案",NA,NA,NA,958
32427,"水俣病救済案で与党合意　県が対象者を判定　チッソ支援など詰め",NA,NA,NA,6479
90507,"安倍・自民総裁「年内解散確約を」　特例公債への協力の前提",NA,NA,4517,NA
64253,"高速道建設、一部見送り　料金活用維持、政府・与党調整",NA,11799,NA,11628
86725,"早期の訪ロに意欲　北方領土問題解決へ前原外相",NA,15169,NA,NA
35103,"［政まつりごと］第五部検証・連立政治（１１）水俣病と万年筆（連載） ",NA,NA,NA,7014
30530,"広島・長崎の名を冠に日本版ノーベル平和賞　戦後５０周年記念に政府が創設検討 ",NA,6572,NA,NA
64472,"規制改革会議の後継組織、閣僚主導に　政府検討、経済界の反発必至",NA,11837,NA,NA
19972,"社会党・社民連の議員辞職願、議長に不許可要求へ　自民が方針内定　",NA,NA,1250,3550
51626,"あっせん利得罪、年内めどに与党案　３党で近く検討チームを発足 ",NA,NA,NA,9855
35798,"参院委証人喚問　桃源社社長が宣誓を一時拒否　「住専問題、政策ミス」と主張 ",NA,NA,NA,7151
68645,"日韓間の「補償問題、解決済み」　日本政府が外相談話 ",NA,12344,NA,NA
6326,"政治改革、挙党体制で　約３時間の竹下・伊東会談で一致 ",NA,NA,NA,998
47190,"少年法改正先送り　検察関与、野党と溝　法務省と自民方針",NA,NA,2695,9076
79865,"衆院「１月解散」強まる　「定額減税法案」提出後に ",NA,NA,NA,13608
30128,"派閥、年内に解消　自民党の５派が合意 ",NA,NA,1943,6005
7864,"消費税廃止法案を提出　参院野党４会派",NA,NA,NA,1360
43007,"所得税など４兆円減税　財政出動１０兆円規模　首相、路線転換鮮明に",NA,8500,NA,NA
25901,"自民、党議拘束を確認　政治改革法案きょう衆院通過",NA,NA,1777,5019
75834,"はしかワクチン急減、自治体確保か",NA,NA,NA,13041
96637,"柏崎刈羽　新潟知事　東電に反発　再稼働申請方針　社長と物別れ",NA,NA,NA,15559
25963,"１３議員の処分、きょう検討　自民党紀委",NA,NA,1781,5034
42848,"議員、あっせん利得禁止　腐敗防止法に合意　与党政治改革チーム",NA,NA,NA,8323
17979,"金丸元副総理が自民党副総裁に就任　宮沢政権、党内の安定化狙う ",NA,3843,1139,3148
85286,"菅新首相に期待、５９％　投票先、民主３３％・自民１７％　朝日新聞社世論調査",NA,14922,4304,NA
33705,"社会党新党　来月下旬ズレ込みへ　リベラル結集メド立たず ",NA,NA,NA,6701
73908,"北朝鮮制裁での船舶検査　海自活動は不審船追尾　米軍に情報提供へ／政府検討 ",NA,13013,NA,NA
13009,"パレスチナ問題での国際平和会議、現時点は無理　ベーカー米国務長官",NA,2672,NA,NA
43963,"「力不足、私の責任」　参院選惨敗の橋本首相語る ",NA,8656,NA,8520
75605,"来夏サミット、外相会合は京都で　政府打診、アフリカ会議は横浜",NA,13206,NA,NA
34582,"再編速め国民に信問え　村山首相退陣　秋山耿太郎",NA,7218,NA,NA
24740,"細川首相、２３日に所信表明　特別国会を２週間延長",NA,5223,NA,4755
39660,"ペット輸入に法規制、感染症防止図る　健康調査も検討　厚生省方針",NA,NA,NA,7844
5355,"田中慶秋代議士が会長代行辞任　民社神奈川県連 ",NA,NA,NA,761
34803,"政治活動に施設使えば課税　宗教法人税制見直しへ　連立与党",NA,NA,NA,6946
54723,"道路公団民営化を検討　首相、行革相に指示　特殊法人改革の焦点",NA,10286,NA,NA
85043,"英保守党、連立に前向き　３０６議席獲得、交渉本格化",NA,NA,NA,14403
82234,"自民、世襲制限先送り　小泉氏次男らは「例外」",NA,NA,4183,NA
64421,"藤井・前日本道路公団総裁が提訴　解任取り消しを石原国交相に求め",NA,11828,3471,NA
84592,"北教組事件　小林千議員を参考人聴取　「かかわりない」説明 ",NA,NA,NA,14336
19345,"日ロ政策企画協議の早期開催に合意　渡辺外相とコズイレフ外相が会談 ",NA,4176,NA,NA
31764,"与謝野文相、オウム解散請求促す　テロ対策強化　おとり捜査も検討／政府答弁 ",NA,6769,NA,NA
98680,"待機児童１７年度５万人　政府見通し　解消目標達成できず",NA,17032,NA,NA
3510,"衆院税特委が初の会合　実質審議は１４日以降",NA,NA,NA,450
92531,"原発の避難計画「有効策作れず」　新潟知事が国制度見直し要望",NA,NA,NA,15779
6980,"参院選　届け出締め切る　競争率最高の５．３倍　選挙区２８５人・比例４０党 ",NA,NA,NA,1187
10593,"天皇の「お言葉」で政府最終調整　韓国大統領来日",NA,2128,NA,NA
87701,"計画停電、月内に原則廃止　家庭にも節電目標　政府対策骨子案",NA,15361,NA,NA
58861,"小泉首相「９月内閣改造」検討　農・防衛・厚労など対象 ",NA,10981,NA,NA
81931,"中国、ＩＴ開示制発足へ　政府調達限定　適用は１年先送り ",NA,14168,NA,NA
80354,"消費税上げ、２０１０年代半ば　今後３年は減税／政府方針 ",NA,13925,NA,NA
66605,"自民・橋本氏、派閥退会を表明　次期衆院選「小選挙区、出馬せず」 ",NA,NA,3529,11925
55121,"日英首脳会談　「京都議定書」米の参加必要　ブレア首相、構造改革への支持表明 ",NA,10364,NA,NA
65806,"菅・民主代表、きょう辞任表明　年金合意で紛糾も／両院議員懇談会 ",NA,NA,NA,11797
60027,"仏タンカー爆発　仏政府筋「テロの情報」　イエメン沖、１人が不明",NA,11167,NA,NA
2547,"サミット経済宣言に農業保護指標を採用　日英外相会談で合意 ",NA,492,NA,NA
78432,"民主、「武藤氏に反対」確認　空席回避は微妙　日銀総裁人事",NA,NA,4037,NA
83827,"実母からの資金　鳩山首相が修正申告へ　贈与税納税４億円超か ",NA,14602,NA,NA
55639,"小泉首相、「失業増やむを得ぬ」　「インフレ目標」には否定的 ",NA,10452,NA,NA
18632,"一転、きょう宮城へ　参院補選応援を強く希望　宮沢首相",NA,4030,NA,3280
11076,"防衛力の抑制を　ソ連には軍縮要求／大内・民社党委員長 ",NA,NA,NA,2096
83200,"自民幹事長に大島氏　総務・田野瀬氏　政調・石破氏 ",NA,NA,4251,NA
80285,"ビザ、類似申請は却下　倉田議員元秘書関連のみ発給　入管法違反事件",NA,NA,NA,13678
32336,"戦後５０年決議　最大野党の平成会が反発　参院は見送りへ ",NA,NA,NA,6465
9507,"衆院選　党派別当選者数（即日開票分）＝表・全文なし ",NA,NA,NA,1794
29846,"防衛大綱見直し　自衛官削減前提に策定　村山首相が表明 ",NA,6474,NA,NA
27198,"完全黙秘、名前も言わず　中村前建設相、１０日間の拘置決定",NA,5826,NA,NA
82867,"民主「国家戦略局」概要　議員１０人程度を常勤に　予算、外交、人事関与 ",NA,NA,NA,14074
37413,"第４１回衆院選あす公示　出馬予定１４００人超す ",NA,NA,NA,7470
34318,"住民税・所得税の２兆円減税、９６年度も継続　与党税調正式決定",NA,NA,NA,6837
10472,"農業保護削減に年度計画　ガット合意を求める／ＯＥＣＤ閣僚理コミュニケ草案 ",NA,2105,NA,NA
5777,"中国、経済引き締め強化　「開放」指導に誤り　趙総書記を批判／全人代首相報告 ",NA,1068,NA,NA
40908,"３年間に集中改革　佐藤総務長官起用は「名誉回復チャンス」　橋本首相が会見 ",NA,8198,NA,NA
54430,"小泉内閣、あす発足　山崎氏が幹事長に　自民総裁選、橋本氏に大差",NA,10210,3136,NA
36493,"［明日への条件－日本総点検］変わる産業と社会（５）電脳無法地帯（連載） ",NA,NA,NA,7270
87964,"自分を見るビンラーディン　潜伏中の映像　米政府が公開 ",NA,15405,NA,NA
3446,"ソ連外相と２６日に会談　宇野外相",NA,664,NA,NA
30741,"首相官邸に震災担当置く　阪神大震災の対応の遅れ教訓に危機管理を強化 ",NA,6621,NA,NA
3867,"「リクルート」、きょう審議　衆院税特委",NA,NA,NA,499
45351,"小渕首相、予算編成までに自自連立めざす　あすにも党首会談　調整は難航必至 ",NA,8898,NA,8757
59802,"日朝合意後、正常化交渉来月にも再開　閣僚級を検討／政府方針 ",NA,11108,NA,NA
40865,"小渕外相・堀内通産相が有力に　内閣改造と自民人事、最終調整入り",NA,8182,2276,NA
6195,"竹下首相、まずタイに到着　ＡＳＥＡＮ歴訪",NA,1164,NA,NA
70695,"自民、野呂田氏を除名　平沼・野田聖氏は離党勧告　郵政反対組を処分",NA,NA,3708,NA
67495,"自衛隊のイラク派遣１年延長　「米軍攻撃、影響なし」判断／政府方針 ",NA,12204,NA,NA
77278,"文化勲章、茂山千作さんら５人に　文化功労者は塩野七生さんら１５人／政府発表 ",NA,13491,NA,NA
18097,"「無罪」補償金、少年にも交付　法務省が国会に法案提出へ",NA,NA,NA,3170
21898,"国の環境アセス推進　汚染者に「経済負担」　環境基本法の素案固まる ",NA,NA,NA,3959
94619,"衆院選　区割り勧告期限延長　民主、与野党協議で提案へ",NA,NA,NA,14995
59057,"田中知事不信任が可決　「県政に混乱招く」　解散なければ失職／長野県議会 ",NA,NA,NA,10916
92187,"ＴＰＰ、年内合意見送り　日米関税交渉、難航　閣僚会合",NA,16630,NA,NA
19814,"ＰＫＯ法案、衆院特別委で可決　週内成否で攻防へ　きょう本会議",NA,NA,NA,3507
96125,"ＴＰＰ対米協議加速　来月にも大筋決着　政府　難航分野切り離し",NA,16341,NA,NA
15585,"自民支持が史上２位の５４．８％、内閣も５０．３％／読売新聞社世論調査 ",NA,3344,967,NA
15611,"政治改革３法案の党議決定を持ち越し　自民総務会きょう２９日再協議 ",NA,NA,970,2732
46752,"北朝鮮に正式抗議　政府「国際法に違反」　不審船事件",NA,9096,NA,8993
2608,"竹下首相、ソウル五輪開会式に出席を表明 ",NA,510,NA,NA
85282,"国会延長へ　参院選７月２５日か ",NA,NA,NA,14452
85299,"我ら「奇兵隊」ＰＲ　菅内閣発足",NA,14929,NA,NA
59327,"首都機能移転　「中止」を強く示唆／与党３党 ",NA,NA,NA,10957
76092,"内閣支持３２％、不支持５１％　安倍首相の年金発言「信用できぬ」　朝日新聞社調査",NA,13283,NA,NA
47854,"［霞が関・再編始まる］（上）小さな政府　「国の姿」見直す起点（連載） ",NA,9251,NA,NA
73915,"核保有「議論は大事」　麻生外相",NA,13015,NA,NA
79985,"与謝野氏らに要職検討　麻生氏、早期解散を示唆　自民党総裁選討論会",NA,NA,4110,13629
68648,"ライス長官、牛肉輸入「解決すべき時」　再開、強く要求へ",NA,12345,NA,NA
77420,"民主、３人不同意へ　国会同意人事、５６年ぶりに否決の見通し",NA,NA,NA,13345
97188,"阪急阪神など　措置命令　虚偽表示ホテル３社　景表法違反認定　消費者庁方針",NA,NA,NA,15665
92167,"参院委、きょう採決強行　野党、反発強める　秘密保護法案",NA,NA,NA,15683
2223,"日米欧、構造調整の相互監視で合意　ＯＥＣＤ閣僚理閉幕",NA,426,NA,NA
16736,"パンキン・ソ連外相、「核削減は可能」",NA,3569,NA,NA
24348,"スハルト大統領、南北対話の活性化訴え　宮沢首相にメッセージ",NA,5116,NA,NA
33487,"自民・橋本新体制スタート　加藤幹事長・山崎政調会長・塩川総務会長の党三役 ",NA,NA,2049,6663
72794,"規制緩和、見直し２０法　ＪＲ脱線・耐震偽装…続く弊害　今国会で成立",NA,NA,NA,12658
54685,"三重の接触墜落事故、小型機が直前左旋回か　複数目撃証言、航空法違反の疑い ",NA,NA,NA,10346
77636,"暫定税率、１０年維持　余剰、環境対策に　道路特定財源見直しで自公合意",NA,NA,4010,NA
9655,"海部首相、米へ出発",NA,1918,NA,NA
1732,"野党に減税協議の継続を呼びかけ／自民党 ",NA,NA,73,224
77330,"テロ特措法期限切れ　給油活動の海自、インド洋から撤収　きょう党首会談 ",NA,NA,NA,13320
47913,"北朝鮮のテポドン再発射時、ＫＥＤＯへの送金停止　政府が対抗方針 ",NA,9262,NA,NA
65911,"「説明責任ある」３割　国民年金問題で自民議員アンケート",NA,NA,3502,11820
10806,"欧州新状況に対応し戦略見直し　ＮＡＴＯ外相会議合意",NA,2168,NA,NA
2607,"「不公平税制、更に是正」　宗教法人など例示　竹下首相、ハワイで懇談 ",NA,509,NA,NA
69722,"在外投票権、憲法判断へ　選挙区も確認か　最高裁",NA,NA,NA,12218
16723,"ルーマニア・ロマン内閣、混乱受け総辞職　労働者は大統領の辞任要求",NA,3565,NA,NA
6274,"青森市長選、佐々木誠造氏が辛勝　社会推薦・関氏及ばず",NA,NA,NA,983
45708,"内閣改造　野田毅通産相が有力　閣僚兼務、建設・国土と文部・科技 ",NA,8958,NA,NA
11412,"イラク軍、クウェートを武力制圧　「暫定自由政府」樹立を発表",NA,2289,NA,NA
83961,"元秘書の石川議員を任意聴取　立件可否、年明け判断　民主・小沢氏団体の不記載問題",NA,NA,NA,14239
43305,"省庁改革法案、きょう衆院通過",NA,NA,NA,8393
7490,"進退決断、きょう２５日にも　女性問題の山下官房長官 ",NA,1457,NA,NA
6752,"中曽根氏の証人喚問要求決議案を否決　参院予算委",NA,NA,NA,1121
96657,"［現場から・１３参院選］（４）「逃した民意」維新苦悩（連載）その１",NA,NA,NA,15569
50171,"小規模市町村や離島の介護保険料　高齢者減免、計３年に　交付要綱明らかに ",NA,NA,NA,9561
82668,"道州制への移行、立法後６～８年　自民、政権公約に明記へ",NA,14297,4210,NA
69571,"日中財務相会談　谷垣財務相が早期の人民元改革を要請　定期「対話」で合意 ",NA,12487,NA,NA
44642,"金融再生新法、来月施行めざす　政府・自民が提案へ　週内にも党首会談 ",NA,8797,2525,8630
73696,"自民党役員きょう決定　二階氏、選対責任者に　新内閣…冬柴氏は国交相有力 ",NA,12959,3861,12727
35385,"住専争点にあす投開票　参院岐阜補選",NA,NA,NA,7083
38223,"３０日免停、ボランティアで免除　警察庁が道交法改正試案",NA,NA,NA,7620
12433,"南北朝鮮　「首脳会談に期待」　金主席、韓国首相に表明 ",NA,2532,NA,NA
25323,"小売価格の上昇必至　政府、動向を監視へ　戦後最悪のコメ凶作",NA,5366,NA,NA
60975,"「環境税」導入を検討　２００４年度にも方向性／政府・与党 ",NA,11291,NA,11142
70843,"７０歳以上の長期入院　調理・光熱費、自己負担　来秋の実施目指す／政府・与党 ",NA,12645,NA,12445
21608,"社党証人の喚問を断念　自民",NA,NA,1398,3860
96155,"自民「衆院比例を３０減」　改革原案　８ブロックに再編",NA,NA,4607,15421
79103,"地方議員、日当廃止３６％　定数削減８割超す　朝日新聞社調査＝訂正あり",NA,NA,NA,13548
41411,"政府景気対策素案　航空運賃規制も緩和　値下げ競争促進図る ",NA,8262,NA,NA
10052,"「政権交代へ責任」　社会党、土井新体制が発足　党大会閉幕",NA,2001,NA,1932
49627,"「使用期限」で日米交渉へ　普天間移設、名護市長が受諾表明",NA,NA,NA,9462
39258,"組織防衛へ政治力（郵便貯金はだれのために　改革と市民第３部：５）",NA,NA,NA,7758
5304,"中ソ外相会談で大きな成果　李鵬首相語る ",NA,981,NA,NA
3538,"米の業界がコメ開放を再提訴　新通商法３０１条をタテに　４年内、１０％枠要求 ",NA,NA,NA,457
46257,"対北朝鮮「対話と抑止」で　高村外相、韓国大統領らに強調",NA,9028,NA,NA
18781,"共和や佐川事件などで阿部氏らの喚問　公明、共産両党も要求／参院予算委 ",NA,NA,NA,3331
92386,"橋下市長、出直し選表明　大阪都構想争点　自・民は擁立見送り",NA,NA,NA,15758
27694,"中華航空機事故で政府が対策本部 ",NA,5970,NA,NA
98662,"［視座　１４衆院選］（１）成長戦略の加速　重要　高橋進（連載）",NA,NA,NA,15993
5680,"消費税延期や撤回考えない　安倍幹事長語る",NA,NA,294,NA
57007,"「緊縮型」の是非争点に　来年度予算の政府案決定",NA,10659,NA,NA
7578,"消費者の視点、強調　税制含め４課題、海部首相が米で所信",NA,1487,NA,NA
58161,"有事法制、「国民の協力」努力義務　関連法提出、２年以内に",NA,NA,NA,10790
10860,"消費税　与野党の協議を尊重　海部首相、決着に意欲／衆院税特委 ",NA,2183,NA,2057
76552,"参院議長に民主・江田氏内定　臨時国会きょう召集 ",NA,NA,NA,13204
48182,"国旗・国歌法が成立　賛成１６６、反対７１",NA,NA,NA,9236
49556,"通常国会、前倒し召集　政府・自民が検討　「衆院定数削減」審議日程を確保 ",NA,9481,2871,9448
40181,"「都議選に関心」４１％　投票政党、共産２位　朝日新聞社世論調査",NA,NA,NA,7916
19752,"チェコ、連邦派が第１党に　スロバキアは半数近くが分離派支持／総選挙出口調査 ",NA,NA,NA,3487
90068,"原発、首相の指示権限定　規制委法案、成立へ　３党合意",NA,15997,NA,15099
53802,"４野党党首、森首相の即時退陣要求で一致　内閣不信任案、提出時期を調整 ",NA,10108,NA,10190
1686,"６１年の政治資金、総額３０００億円を突破　地方分は３割増の１４２１億円 ",NA,NA,NA,221
54582,"外務省冷戦　小泉「改革内閣」、目玉の田中外相はアキレスけん？",NA,10250,NA,NA
38837,"北朝鮮から亡命の黄書記、韓国直行へ　中韓合意と韓国政府筋",NA,7889,NA,NA
58476,"陳謝と再発防止要求　川口外相、省内に対策本部　総領事館事件",NA,10916,NA,NA
37545,"３党首会談　橋本首相、連立維持を要請　社民は態度保留　さきがけ行革前提に ",NA,7658,NA,7512
48202,"通信傍受法案、成立へ　衆院、徹夜の審議　不信任案を自自公否決",NA,NA,2776,9245
