"id_all","Headline","codeN","cabinetmatch","ldpmatch","politicsmatch"
16804,"議長の下に設置を　海部首相、政治改革協議機関の再検討を要請",NA,3579,NA,2941
61441,"「福井日銀」３トップ決定　副総裁に武藤、岩田氏　実務布陣、脱デフレ課題 ",NA,NA,3313,NA
68712,"集団的自衛権、方向示さず　多数意見判定基準、「意見三分」と明記　衆院憲法調査会",NA,NA,NA,12113
48318,"キルギスで４邦人ら拘束　政府、外務省内に対策本部設置 ",NA,9306,NA,NA
10387,"温室効果ガス排出を２０年で半減　国際議員会議が決議 ",NA,NA,NA,1994
59522,"組織犯罪条約、来年批准　「共謀罪」新設へ　計画段階でも処罰可能に／政府方針 ",NA,11069,NA,NA
18419,"農業分野で修正案、コメ関税化に反対　ガット新ラウンドで日本政府",NA,3973,NA,NA
12920,"新土地保有税　税率０．３％軸に最終調整　基礎控除５億円が有力／自民税調 ",NA,NA,805,NA
25027,"所得減税は直間比率見直しで　政府税調で大勢占める ",NA,5283,NA,NA
83512,"（政権交代　５０日目）憲法解釈も「政治主導」　平野官房長官、法制局答弁と一線",NA,14521,NA,14196
48203,"組織犯罪３法案　与野党、徹夜の攻防　民主党提出の内閣不信任案は否決 ",NA,9294,NA,9246
77489,"与野党党首２２日に会談　福田首相、新テロ法案の協力を要請へ ",NA,13524,NA,13358
6337,"竹下・安倍氏が議員辞職も　伊東総務会長主張のリ事件「けじめ論」への対応検討 ",NA,NA,NA,1002
17160,"４日以降にイスラエルと交渉示唆　中東和平会議でシリアのシャラ外相　　　",NA,3653,NA,NA
68796,"郵政民営化、政府案提示へ　貯金・保険、１０年内に全株売却　買い戻しも容認",NA,12367,NA,NA
55021,"７２年の田中首相と周中国首相、日中正常化会談の秘録　外務省が公開 ",NA,10342,NA,NA
43334,"内需拡大に全力　橋本首相、サミットへ決意 ",NA,8549,NA,NA
1604,"税制抜本改革　４月末に答申案／小倉政府税調会長 ",NA,299,NA,NA
60576,"鳩山代表、辞任示唆　「野党結集に全力」小沢氏と一致、民主分裂・再編も ",NA,NA,NA,11081
84830,"平沼新党きょう結成 ",NA,NA,NA,14366
